"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30","species31","species32","species33","species34","species35","species36","species37","species38","species39","species40","species41","species42","species43","species44","species45","species46","species47","species48","species49","species50","species51","species52","species53","species54","species55","species56","species57","species58","species59","species60","species61","species62","species63","species64","species65","species66","species67","species68","species69","species70","species71","species72","species73","species74","species75","species76","species77","species78","species79","species80","species81","species82","species83","species84","species85","species86","species87","species88","species89","species90","species91","species92","species93","species94","species95","species96","species97","species98","species99","species100"
"Site1",1555,7085,9861,425,464,8634,7370,9643,4605,7717,54,7083,6830,1337,4426,3579,3177,621,3480,5562,6065,5978,977,4874,8305,9504,9452,4244,394,4949,1522,1802,6046,245,1924,4975,13,3955,4811,3706,9670,9402,5452,6075,1494,9348,1339,3238,8741,5900,6426,175,8758,7211,9291,8760,7911,3718,6567,4534,1893,4674,414,7625,7406,2812,543,6238,5057,9913,1747,6362,9492,2853,4812,548,8885,6511,8969,9106,7822,8369,7180,2606,3483,5705,4290,2220,9681,7677,9939,8187,8986,9221,1645,5600,6256,6475,1722,2567
"Site2",745,6370,5906,7458,1877,6680,2821,9778,4463,3683,6045,9658,4446,8826,3800,3776,1635,7672,9124,9372,7165,9551,8622,3325,3054,3273,689,9594,637,5469,3022,6299,3837,4782,5591,9294,6583,6524,7078,6258,7342,225,2945,2084,8187,7868,7302,7409,1985,4518,2670,1696,1731,9179,1934,8806,3949,1590,882,42,9676,5682,9325,8367,5646,3998,2332,7182,819,5544,2103,4175,6337,3573,5795,2716,6908,5888,9148,1366,271,606,1075,5628,1629,3815,5477,4968,7907,5291,5908,663,9198,8435,3274,919,4104,8601,9902,8020
"Site3",5048,8160,2993,1933,3751,3714,284,3904,9220,2538,154,2866,5835,9346,6898,725,3647,8099,1605,7929,1702,3265,5540,602,8101,4220,7592,7936,3752,9544,9206,6414,6719,1134,2912,1070,3926,5217,189,5100,8329,3104,5579,3306,8053,5504,5756,4475,2121,1267,6811,5259,7617,4100,1377,9106,2264,6367,5534,7513,406,1901,727,5073,7927,6770,7,6259,59,6170,3180,8992,6830,2937,3020,9886,8887,6951,5857,6003,6524,228,3527,5936,8486,5305,1475,1494,6753,8118,3102,5839,6191,3411,7132,7369,4436,7409,500,5914
"Site4",5119,4851,231,9909,7261,9620,6409,3290,6669,5580,5760,8405,6566,2113,7391,4736,4798,6437,2148,513,5254,8043,725,4294,4331,6172,2339,3341,2807,5957,1641,10000,1117,5062,6847,8297,5256,4682,6831,3106,473,4772,8605,116,172,121,5935,7147,7921,8035,9953,8249,8006,1321,3054,7981,8922,6052,6240,3357,5190,5758,4881,9273,6670,9685,4529,9858,2940,3559,6033,5366,821,2861,6857,5964,8397,6135,5387,1647,9386,2485,3091,3336,3921,8964,2094,9631,1544,1281,9138,9142,1248,9505,8103,2236,4225,5731,71,5603
"Site5",4299,3194,7639,2855,8937,1917,6413,7317,6019,7650,6960,5176,8235,2029,843,8066,470,6556,7497,8644,3643,5762,3992,9861,3825,5030,9341,1005,9022,9935,6619,3139,9200,8014,6889,604,3245,9542,3042,6207,1342,2885,3303,1695,451,7701,2867,7574,2315,4266,5037,6373,339,1320,1400,9329,8944,3291,4479,323,8145,9226,7813,5578,7683,1099,4056,3840,6777,8271,4219,2016,4097,7432,725,2889,3358,4910,1566,2384,2141,3372,5863,7410,8991,8503,5230,3822,9282,2677,4457,8601,6998,9701,2266,2129,2827,8567,9640,2618
"Site6",8717,7053,5783,3383,8469,8568,1470,3074,5540,5216,9775,3710,3893,4308,9264,8568,1099,909,5651,3878,3821,5797,9038,3398,2344,8132,6583,2416,8313,8519,5450,9104,4599,8007,2028,2381,7141,9089,3942,9214,5480,8624,3879,427,4107,3941,8216,5669,6132,7961,7002,655,8407,2327,598,2092,5495,578,9771,751,8517,1238,6843,3887,5736,2946,2308,1292,5698,8433,9885,5156,3578,7341,5210,1405,3717,8582,944,6349,6162,5734,4389,2551,7758,810,5949,3759,3165,6725,1621,2198,1939,9468,7459,8535,8404,8595,2510,4680
"Site7",7895,7358,1402,3462,6822,6831,3682,6541,9108,5507,2353,889,6876,9437,4355,8057,7491,3830,4904,939,506,7635,7705,9164,7546,6203,7460,1349,9946,9463,2534,255,6348,9341,834,7036,1875,1,6515,9315,5591,7334,8748,4527,2044,9673,2471,4768,9745,8299,711,4716,1324,112,6444,3404,6861,3191,6748,7100,126,4447,3082,3149,7776,6656,6330,6789,6646,2186,7428,8277,5731,3692,2603,1368,5215,5436,4482,5404,109,4839,5198,1716,2846,3005,5410,7873,4325,7950,3316,6457,5225,1375,1734,4706,2432,7915,9826,2506
"Site8",9067,1847,9892,5244,5693,5256,4528,1437,5602,8515,2406,3928,4489,2685,2076,1129,2458,1861,4585,590,8670,3218,5816,652,2739,6334,8737,2404,5493,6536,2787,5988,400,1401,5580,2429,7496,9283,2663,4909,7921,535,9681,2476,9260,2125,3081,1749,4694,3272,4724,7458,6967,7563,6267,5549,7214,6721,7788,9277,8618,732,249,6759,8172,9979,1480,6266,772,5993,1047,8144,6580,650,8902,5406,5879,9593,142,4489,8398,5859,9774,2624,4180,8322,5166,2480,2593,5785,54,8112,9769,6463,3188,3303,4195,277,4093,9428
"Site9",5744,9396,2373,9408,9256,4989,1159,4942,24,3139,9340,3805,291,7811,9224,5418,8488,3877,9226,4177,1753,614,8124,7359,7091,7729,8884,9616,1150,2574,6636,7563,822,6367,3427,1757,7160,1039,4249,6067,8661,4388,532,891,4021,4308,1257,4887,7816,3057,5372,3866,9958,6859,9629,6677,1133,7772,2876,6207,7312,9576,6093,5592,8586,8804,2220,5076,7226,6366,9066,7404,3784,2882,1230,1296,3756,5378,5425,423,8440,7231,2719,1779,5946,8745,3184,9807,9805,5021,8878,9818,4308,9478,2104,2696,9794,2205,6600,4410
"Site10",6287,675,8911,7093,9820,6583,4466,4094,5819,7687,459,6455,3068,1545,133,7286,1769,2651,8154,3011,7301,3167,5281,6816,668,19,6198,3672,6109,3698,7181,4772,8801,9537,508,6401,2216,3647,5345,258,9326,8851,7731,2975,2557,208,4571,8028,3751,3646,1170,889,3103,3851,6369,6359,3610,6447,1471,1437,1194,8961,1433,562,8843,1751,6753,6967,8947,3064,9786,8334,9460,4264,5066,1335,5611,8580,431,4305,7741,4902,4928,9682,4551,3383,6741,2401,9174,670,8415,5348,2013,1928,3239,9913,3658,2421,2691,1063
